feature_set,mean_roc_auc,mean_pr_auc,mean_brier
G_mean_ai,0.7165816993464053,0.9013635614592013,0.20407223821408607
B_sum_mean_ai,0.71378227124183,0.9004997254897863,0.2039231372515328
F_combined_acde,0.6800571895424836,0.878936620299986,0.21316685661509568
A_raw_lr,0.6787455065359477,0.8782211177094394,0.21399853616240008
E_ratio_only,0.6169125816993465,0.8403064114722708,0.2290702918908537
C_ai_only,0.6039636437908497,0.8363361361455816,0.23028779259827356
D_diff_only,0.5726356209150326,0.8210281193526278,0.2338813989649384
