component,sum_squares,proportion_of_total,partial_eta_squared
feature_set,2.8916782597352677,0.1738178742029979,0.23115936455533073
model,1.7244744678028485,0.10365761996574226,0.15203984177834268
interaction,2.4023217152056886,0.14440280563128094,0.199858696093839
residual_error,9.617779296950092,0.5781217001999788,
