model,mean_roc_auc,mean_pr_auc,mean_brier
random_forest,0.7055966386554621,0.8915048391294625,0.18696258251233785
xgboost,0.651969712885154,0.8635199525889474,0.21891686030796592
lr_en,0.6064387254901961,0.8407002191082584,0.24914923647848777
